date,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-12-13,0,0,0
2020-12-14,0,0,0
2020-12-15,0,0,0
2020-12-16,0.01,0,0
2020-12-17,0.02,0,0
2020-12-18,0.03,0,0
2020-12-19,0.03,0,0
2020-12-20,0.03,0,0
2020-12-21,0.06,0,0
2020-12-22,0.07,0,0
2020-12-23,0.09,0,0
2020-12-24,0.12,0,0
2020-12-25,0.12,0,0
2020-12-26,0.13,0,0
2020-12-27,0.14,0,0
2020-12-28,0.16,0,0
2020-12-29,0.19,0,0
2020-12-30,0.22,0,0
2020-12-31,0.26,0,0
2021-01-01,0.27,0,0
2021-01-02,0.29,0,0
2021-01-03,0.3,0,0
2021-01-04,0.36,0,0
2021-01-05,0.41,0,0
2021-01-06,0.49,0,0
2021-01-07,0.58,0.58,0.01
2021-01-08,0.69,0.68,0.01
2021-01-09,0.78,0.77,0.02
2021-01-10,0.85,0.83,0.02
2021-01-11,0.95,0.94,0.02
2021-01-12,1.03,1.01,0.02
2021-01-13,1.11,1.07,0.04
2021-01-14,1.22,1.16,0.06
2021-01-15,1.35,1.27,0.07
2021-01-16,1.44,1.36,0.08
2021-01-17,1.51,1.43,0.08
2021-01-18,1.63,1.54,0.08
2021-01-19,1.73,1.63,0.1
2021-01-20,1.84,1.7,0.14
2021-01-21,1.96,1.79,0.17
2021-01-22,2.06,1.86,0.2
2021-01-23,2.12,1.9,0.22
2021-01-24,2.16,1.93,0.23
2021-01-25,2.23,1.96,0.27
2021-01-26,2.3,2,0.3
2021-01-27,2.36,2.14,0.22
2021-01-28,2.43,2.18,0.24
2021-01-29,2.48,2.22,0.27
2021-01-30,2.52,2.23,0.29
2021-01-31,2.54,2.24,0.3
2021-02-01,2.58,2.28,0.31
2021-02-02,2.62,2.3,0.32
2021-02-03,2.65,2.31,0.34
2021-02-04,2.7,2.33,0.38
2021-02-05,2.76,2.35,0.41
2021-02-06,2.82,2.37,0.45
2021-02-07,2.85,2.39,0.47
2021-02-08,2.91,2.41,0.5
2021-02-09,2.98,2.44,0.54
2021-02-10,3.06,2.46,0.59
2021-02-11,3.14,2.5,0.65
2021-02-12,3.24,2.53,0.71
2021-02-13,3.33,2.56,0.76
2021-02-14,3.37,2.57,0.8
2021-02-15,3.4,2.58,0.82
2021-02-16,3.47,2.6,0.87
2021-02-17,3.52,2.61,0.91
2021-02-18,3.59,2.63,0.96
2021-02-19,3.72,2.69,1.03
2021-02-20,3.85,2.78,1.07
2021-02-21,3.96,2.86,1.11
2021-02-22,4.13,2.94,1.19
2021-02-23,4.26,3.02,1.24
2021-02-24,4.38,3.1,1.28
2021-02-25,4.53,3.21,1.32
2021-02-26,4.71,3.36,1.36
2021-02-27,4.88,3.5,1.38
2021-02-28,5,3.61,1.39
2021-03-01,5.16,3.73,1.43
2021-03-02,5.35,3.89,1.45
2021-03-03,5.54,4.07,1.47
2021-03-04,5.75,4.27,1.48
2021-03-05,5.98,4.49,1.49
2021-03-06,6.17,4.68,1.49
2021-03-07,6.32,4.83,1.5
2021-03-08,6.55,5.03,1.53
2021-03-09,6.74,5.2,1.53
2021-03-10,6.95,5.4,1.55
2021-03-11,7.2,5.65,1.56
2021-03-12,7.5,5.93,1.57
2021-03-13,7.77,6.2,1.57
2021-03-14,8.02,6.44,1.58
2021-03-15,8.35,6.76,1.59
2021-03-16,8.67,7.06,1.6
2021-03-17,9.03,7.42,1.62
2021-03-18,9.45,7.82,1.63
2021-03-19,9.88,8.23,1.65
2021-03-20,10.23,8.58,1.66
2021-03-21,10.48,8.81,1.67
2021-03-22,10.86,9.19,1.68
2021-03-23,11.19,9.5,1.69
2021-03-24,11.64,9.94,1.7
2021-03-25,12.15,10.43,1.72
2021-03-26,12.72,10.98,1.74
2021-03-27,13.16,11.41,1.76
