date,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-12-14,0,0,0
2020-12-15,0,0,0
2020-12-16,0,0,0
2020-12-17,0,0,0
2020-12-18,0,0,0
2020-12-19,0,0,0
2020-12-20,0,0,0
2020-12-21,0,0,0
2020-12-22,0,0,0
2020-12-23,0,0,0
2020-12-24,0,0,0
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0.03,0.03,0
2020-12-28,0.05,0.05,0
2020-12-29,0.1,0.1,0
2020-12-30,0.17,0.17,0
2020-12-31,0.22,0.22,0
2021-01-01,0.25,0.25,0
2021-01-02,0.31,0.31,0
2021-01-03,0.34,0.34,0
2021-01-04,0.4,0.4,0
2021-01-05,0.46,0.46,0
2021-01-06,0.53,0.53,0
2021-01-07,0.6,0.6,0
2021-01-08,0.67,0.67,0
2021-01-09,0.74,0.74,0
2021-01-10,0.78,0.78,0
2021-01-11,0.86,0.86,0
2021-01-12,0.96,0.96,0
2021-01-13,1.08,1.08,0
2021-01-14,1.2,1.19,0
2021-01-15,1.31,1.31,0
2021-01-16,1.37,1.37,0
2021-01-17,1.43,1.41,0.02
2021-01-18,1.52,1.48,0.04
2021-01-19,1.63,1.56,0.07
2021-01-20,1.78,1.65,0.13
2021-01-21,1.9,1.73,0.17
2021-01-22,2.04,1.83,0.21
2021-01-23,2.15,1.89,0.26
2021-01-24,2.23,1.93,0.3
2021-01-25,2.35,2,0.34
2021-01-26,2.47,2.07,0.4
2021-01-27,2.6,2.13,0.47
2021-01-28,2.72,2.19,0.53
2021-01-29,2.85,2.26,0.6
2021-01-30,2.96,2.31,0.65
2021-01-31,3.03,2.34,0.69
2021-02-01,3.17,2.4,0.77
2021-02-02,3.33,2.47,0.85
2021-02-03,3.5,2.54,0.95
2021-02-04,3.66,2.62,1.04
2021-02-05,3.82,2.69,1.13
2021-02-06,3.95,2.75,1.2
2021-02-07,4.02,2.79,1.23
2021-02-08,4.15,2.86,1.29
2021-02-09,4.3,2.93,1.37
2021-02-10,4.48,3.02,1.46
2021-02-11,4.65,3.1,1.55
2021-02-12,4.84,3.2,1.64
2021-02-13,4.97,3.28,1.7
2021-02-14,5.05,3.32,1.73
2021-02-15,5.21,3.41,1.8
2021-02-16,5.37,3.5,1.86
2021-02-17,5.55,3.62,1.93
2021-02-18,5.72,3.73,1.99
2021-02-19,5.9,3.85,2.05
2021-02-20,6.04,3.94,2.1
2021-02-21,6.14,4.01,2.13
2021-02-22,6.32,4.12,2.2
2021-02-23,6.52,4.25,2.26
2021-02-24,6.72,4.39,2.33
2021-02-25,6.94,4.54,2.4
2021-02-26,7.17,4.7,2.47
2021-02-27,7.35,4.83,2.51
2021-02-28,7.48,4.94,2.55
2021-03-01,7.71,5.1,2.61
2021-03-02,7.97,5.3,2.68
2021-03-03,8.26,5.51,2.76
2021-03-04,8.55,5.72,2.83
2021-03-05,8.85,5.94,2.91
2021-03-06,9.08,6.12,2.96
2021-03-07,9.26,6.26,3.01
2021-03-08,9.54,6.47,3.07
2021-03-09,9.83,6.7,3.13
2021-03-10,10.17,6.95,3.22
2021-03-11,10.51,7.22,3.29
2021-03-12,10.88,7.51,3.37
2021-03-13,11.16,7.73,3.43
2021-03-14,11.36,7.89,3.47
2021-03-15,11.64,8.1,3.54
2021-03-16,11.85,8.23,3.62
2021-03-17,12.1,8.39,3.72
2021-03-18,12.33,8.52,3.81
2021-03-19,12.61,8.7,3.9
2021-03-20,12.86,8.89,3.97
2021-03-21,13.05,9.04,4.01
2021-03-22,13.37,9.26,4.11
2021-03-23,13.7,9.5,4.2
2021-03-24,14.05,9.75,4.31
2021-03-25,14.41,10.01,4.4
2021-03-26,14.76,10.26,4.5
