date,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-12-13,0,0,0
2020-12-14,0,0,0
2020-12-15,0,0,0
2020-12-16,0,0,0
2020-12-17,0,0,0
2020-12-18,0,0,0
2020-12-19,0,0,0
2020-12-20,0.09,0.09,0
2020-12-21,0.37,0.37,0
2020-12-22,0.89,0.89,0
2020-12-23,1.61,1.61,0
2020-12-24,2.46,2.46,0
2020-12-25,2.9,2.9,0
2020-12-26,3.28,3.28,0
2020-12-27,4.48,4.48,0
2020-12-28,6.03,6.03,0
2020-12-29,7.83,7.83,0
2020-12-30,9.6,9.6,0
2020-12-31,11.42,11.42,0
2021-01-01,12.24,12.24,0
2021-01-02,13.07,13.07,0
2021-01-03,14.79,14.79,0
2021-01-04,16.55,16.55,0
2021-01-05,17.99,17.99,0
2021-01-06,19.18,19.18,0
2021-01-07,20.51,20.51,0
2021-01-08,21.28,21.28,0
2021-01-09,21.79,21.79,0
2021-01-10,22.29,22.22,0.07
2021-01-11,22.76,22.47,0.29
2021-01-12,23.44,22.74,0.7
2021-01-13,24.7,23.34,1.35
2021-01-14,26.14,24,2.15
2021-01-15,26.91,24.35,2.56
2021-01-16,27.55,24.69,2.86
2021-01-17,29.31,25.48,3.83
2021-01-18,31.5,26.28,5.22
2021-01-19,33.93,27.12,6.81
2021-01-20,36.47,28,8.47
2021-01-21,39.17,28.81,10.36
2021-01-22,40.42,29.24,11.18
2021-01-23,41.5,29.71,11.79
2021-01-24,43.92,30.5,13.41
2021-01-25,46.46,31.43,15.02
2021-01-26,48.82,32.34,16.48
2021-01-27,51.15,33.24,17.92
2021-01-28,53.58,34.15,19.42
2021-01-29,54.74,34.58,20.17
2021-01-30,55.63,34.97,20.66
2021-01-31,57.16,35.82,21.35
2021-02-01,58.52,36.77,21.75
2021-02-02,59.68,37.57,22.11
2021-02-03,60.97,38.27,22.7
2021-02-04,62.47,39.1,23.37
2021-02-05,63.19,39.49,23.7
2021-02-06,63.7,39.74,23.96
2021-02-07,65.11,40.36,24.75
2021-02-08,66.54,41.04,25.5
2021-02-09,68.08,41.8,26.28
2021-02-10,69.72,42.62,27.11
2021-02-11,71.48,43.55,27.93
2021-02-12,72.36,44,28.36
2021-02-13,73.03,44.32,28.71
2021-02-14,74.69,45.18,29.51
2021-02-15,76.5,46.12,30.38
2021-02-16,78.36,47.08,31.28
2021-02-17,79.94,47.79,32.15
2021-02-18,81.66,48.59,33.07
2021-02-19,82.55,49.05,33.51
2021-02-20,83.25,49.41,33.84
2021-02-21,85.07,50.33,34.74
2021-02-22,86.98,51.31,35.67
2021-02-23,88.68,52.2,36.48
2021-02-24,90.1,52.9,37.2
2021-02-25,91.44,53.5,37.95
2021-02-26,92.11,53.79,38.31
2021-02-27,92.56,54,38.56
2021-02-28,93.66,54.47,39.2
2021-03-01,94.9,54.99,39.9
2021-03-02,96.11,55.47,40.65
2021-03-03,97.37,55.95,41.41
2021-03-04,98.73,56.41,42.32
2021-03-05,99.39,56.61,42.79
2021-03-06,99.81,56.73,43.08
2021-03-07,101.01,57.09,43.92
2021-03-08,102.16,57.4,44.76
2021-03-09,103.35,57.71,45.64
2021-03-10,104.29,57.98,46.32
2021-03-11,105.35,58.24,47.11
2021-03-12,105.96,58.37,47.59
2021-03-13,106.34,58.46,47.88
2021-03-14,107.43,58.7,48.73
2021-03-15,108.56,58.93,49.63
2021-03-16,109.6,59.15,50.45
2021-03-17,110.48,59.35,51.13
2021-03-18,111.33,59.53,51.8
2021-03-19,111.73,59.61,52.12
2021-03-20,111.97,59.67,52.3
2021-03-21,112.57,59.82,52.75
2021-03-22,113.17,59.97,53.2
2021-03-23,113.28,60,53.28
2021-03-24,113.93,60.12,53.8
2021-03-25,114.43,60.24,54.2
2021-03-26,114.63,60.28,54.35
2021-03-27,114.7,60.3,54.4
