date,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-12-12,0,0,0
2020-12-13,0.13,0.13,0
2020-12-14,,,0
2020-12-15,,,0
2020-12-16,,,0
2020-12-17,,,0
2020-12-18,,,0
2020-12-19,,,0
2020-12-20,0.99,0.99,0
2020-12-21,,,0
2020-12-22,,,0
2020-12-23,,,0
2020-12-24,,,0
2020-12-25,,,0
2020-12-26,,,0
2020-12-27,1.48,1.48,0
2020-12-28,,,0
2020-12-29,,,0
2020-12-30,,,0
2020-12-31,,,0
2021-01-01,,,0
2021-01-02,,,0
2021-01-03,2.07,2.03,0.03
2021-01-04,,,
2021-01-05,,,
2021-01-06,,,
2021-01-07,,,
2021-01-08,,,
2021-01-09,,,
2021-01-10,3.95,3.37,0.58
2021-01-11,4.19,3.59,0.61
2021-01-12,4.52,3.89,0.63
2021-01-13,4.95,4.31,0.64
2021-01-14,5.43,4.77,0.65
2021-01-15,5.94,5.28,0.66
2021-01-16,6.38,5.72,0.66
2021-01-17,6.66,6,0.67
2021-01-18,6.96,6.29,0.67
2021-01-19,7.47,6.8,0.68
2021-01-20,8.02,7.33,0.68
2021-01-21,8.62,7.94,0.69
2021-01-22,9.34,8.65,0.69
2021-01-23,10.06,9.37,0.69
2021-01-24,10.39,9.69,0.69
2021-01-25,10.8,10.11,0.7
2021-01-26,11.27,10.57,0.7
2021-01-27,11.74,11.04,0.7
2021-01-28,12.34,11.64,0.7
2021-01-29,13.07,12.36,0.71
2021-01-30,13.96,13.24,0.72
2021-01-31,14.43,13.7,0.73
2021-02-01,14.95,14.22,0.73
2021-02-02,15.51,14.77,0.73
2021-02-03,16.2,15.46,0.74
2021-02-04,16.92,16.18,0.74
2021-02-05,17.65,16.9,0.75
2021-02-06,18.47,17.72,0.75
2021-02-07,18.87,18.12,0.75
2021-02-08,19.4,18.64,0.76
2021-02-09,20.01,19.25,0.76
2021-02-10,20.69,19.92,0.77
2021-02-11,21.43,20.66,0.78
2021-02-12,22.24,21.46,0.79
2021-02-13,22.99,22.2,0.79
2021-02-14,23.34,22.55,0.79
2021-02-15,23.75,22.95,0.8
2021-02-16,24.31,23.49,0.82
2021-02-17,25.04,24.2,0.84
2021-02-18,25.74,24.87,0.87
2021-02-19,26.31,25.42,0.89
2021-02-20,26.82,25.92,0.9
2021-02-21,27.04,26.12,0.92
2021-02-22,27.35,26.4,0.95
2021-02-23,27.87,26.88,0.98
2021-02-24,28.58,27.55,1.03
2021-02-25,29.35,28.26,1.08
2021-02-26,30.14,29.01,1.13
2021-02-27,30.78,29.61,1.17
2021-02-28,31.08,29.88,1.2
2021-03-01,31.41,30.17,1.24
2021-03-02,31.82,30.51,1.32
2021-03-03,32.33,30.92,1.42
2021-03-04,32.99,31.47,1.52
2021-03-05,33.72,32.11,1.6
2021-03-06,34.38,32.73,1.65
2021-03-07,34.65,32.97,1.68
2021-03-08,35.02,33.28,1.74
2021-03-09,35.45,33.6,1.85
2021-03-10,35.95,33.96,1.99
2021-03-11,36.47,34.35,2.13
2021-03-12,37.15,34.9,2.26
2021-03-13,37.98,35.65,2.33
2021-03-14,38.4,36.03,2.37
2021-03-15,39.05,36.6,2.45
2021-03-16,39.84,37.24,2.59
2021-03-17,40.7,37.93,2.77
2021-03-18,41.67,38.7,2.97
2021-03-19,42.76,39.61,3.15
2021-03-20,44.01,40.72,3.29
2021-03-21,44.59,41.24,3.36
2021-03-22,45.22,41.73,3.48
2021-03-23,45.94,42.21,3.73
2021-03-24,46.79,42.71,4.09
2021-03-25,47.62,43.18,4.43
2021-03-26,48.64,43.79,4.85
