date,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-12-13,0,0,0
2020-12-14,0,0,0
2020-12-15,0,0,0
2020-12-16,0,0,0
2020-12-17,0,0,0
2020-12-18,0,0,0
2020-12-19,0,0,0
2020-12-20,0.17,0.17,0
2020-12-21,0.18,0.18,0
2020-12-22,,,0
2020-12-23,0.3,0.3,0
2020-12-24,,,0
2020-12-25,,,0
2020-12-26,0.58,0.58,0
2020-12-27,,,0
2020-12-28,0.64,0.64,0
2020-12-29,,,0
2020-12-30,0.84,0.84,0
2020-12-31,,,0
2021-01-01,,,0
2021-01-02,1.26,1.26,0
2021-01-03,,,0
2021-01-04,1.36,1.36,0
2021-01-05,1.45,1.45,0
2021-01-06,1.59,1.59,0
2021-01-07,1.77,1.77,0
2021-01-08,2,2,0
2021-01-09,,,0
2021-01-10,,,0
2021-01-11,2.69,2.69,0
2021-01-12,2.79,2.79,0
2021-01-13,3.07,,0
2021-01-14,3.33,2.9,0.4
2021-01-15,3.67,3.17,0.48
2021-01-16,,,
2021-01-17,,,
2021-01-18,,,
2021-01-19,4.7,4.07,0.6
2021-01-20,4.94,4.27,0.65
2021-01-21,5.25,4.5,0.72
2021-01-22,5.71,4.86,0.82
2021-01-23,6.14,5.2,0.91
2021-01-24,6.53,5.53,0.96
2021-01-25,6.8,5.76,1
2021-01-26,7.04,5.95,1.04
2021-01-27,7.37,6.19,1.14
2021-01-28,7.83,6.49,1.27
2021-01-29,8.34,6.83,1.43
2021-01-30,8.84,7.2,1.57
2021-01-31,9.31,7.54,1.69
2021-02-01,9.63,7.78,1.77
2021-02-02,9.8,7.91,1.81
2021-02-03,10.13,8.12,1.92
2021-02-04,10.53,8.34,2.07
2021-02-05,11.01,8.64,2.24
2021-02-06,11.67,9.05,2.49
2021-02-07,12.32,9.44,2.74
2021-02-08,12.68,9.67,2.85
2021-02-09,12.92,9.83,2.94
2021-02-10,13.39,10.1,3.13
2021-02-11,13.87,10.38,3.35
2021-02-12,14.48,10.71,3.61
2021-02-13,15.14,11.08,3.91
2021-02-14,15.81,11.45,4.21
2021-02-15,,,
2021-02-16,16.51,11.86,4.49
2021-02-17,16.83,12.04,4.63
2021-02-18,17.26,12.27,4.83
2021-02-19,17.82,12.55,5.09
2021-02-20,18.33,12.8,5.35
2021-02-21,18.86,13.05,5.64
2021-02-22,19.19,13.2,5.81
2021-02-23,19.44,13.32,5.94
2021-02-24,19.87,13.53,6.16
2021-02-25,20.41,13.78,6.45
2021-02-26,21.07,14.11,6.76
2021-02-27,21.77,14.48,7.09
2021-02-28,22.5,14.88,7.41
2021-03-01,22.99,15.17,7.61
2021-03-02,23.51,15.48,7.82
2021-03-03,24.08,15.8,8.06
2021-03-04,24.69,16.16,8.31
2021-03-05,25.42,16.61,8.58
2021-03-06,26.29,17.15,8.9
2021-03-07,27.02,17.6,9.18
2021-03-08,27.54,17.94,9.42
2021-03-09,28.01,18.27,9.6
2021-03-10,28.62,18.67,9.84
2021-03-11,29.36,19.16,10.13
2021-03-12,30.24,19.72,10.47
2021-03-13,31.61,20.6,11.04
2021-03-14,32.01,20.87,11.2
2021-03-15,32.62,21.25,11.46
2021-03-16,33.11,21.57,11.67
2021-03-17,33.8,22.03,11.96
2021-03-18,34.6,22.57,12.25
2021-03-19,35.38,23.09,12.54
2021-03-20,36.31,23.73,12.87
2021-03-21,37.22,24.34,13.2
2021-03-22,37.83,24.75,13.43
2021-03-23,38.34,25.1,13.61
2021-03-24,39.01,25.56,13.86
2021-03-25,39.86,26.12,14.18
2021-03-26,40.87,26.78,14.56
2021-03-27,41.91,27.42,14.99
